"";"Fecha";"Hora";"Nombre";"Categoria";"Region";"Comuna";"PrecioNormal";"PrecioCalculado";"TipoMoneda";"ValorUf"
"1";"Hoy";"09:58";"Candado bicicleta";"Bicicletas, ciclismo y accesorios";"Región Metropolitana";"La Florida";6500;NA;"peso";NA
"2";"Hoy";"09:48";"Ipad pro 12.9 pulgadas";"Computadores y accesorios";"Región Metropolitana";"La Florida";45000;NA;"peso";NA
"3";"Hoy";"09:48";"Ventilador somela";"Electrodomésticos";"Región Metropolitana";"La Florida";39990;NA;"peso";NA
"4";"Hoy";"09:46";"Bmw x3 xdrive 2.0 4x4 diesel recibo vehiculo";"Autos, camionetas y 4x4";"Región Metropolitana";"La Florida";17650000;NA;"peso";NA
"5";"Hoy";"09:46";"Subaru legacy station at awd";"Autos, camionetas y 4x4";"Región Metropolitana";"La Florida";4980000;NA;"peso";NA
"6";"Hoy";"09:46";"Chevrolet sail 1.5 LT 30mil km RECIBO VEHÍCULO";"Autos, camionetas y 4x4";"Región Metropolitana";"La Florida";8850000;NA;"peso";NA
"7";"Hoy";"09:40";"PC HP Prodesk";"Computadores y accesorios";"Región Metropolitana";"La Florida";80000;NA;"peso";NA
"8";"Hoy";"09:35";"Multifuncion";"Jardín, herramientas y exteriores";"Región Metropolitana";"La Florida";24000;NA;"peso";NA
"9";"Hoy";"09:32";"Cerco electrico";"Servicios";"Región Metropolitana";"La Florida";5500;NA;"peso";NA
"10";"Hoy";"09:28";"De todobun poco";"Bicicletas, ciclismo y accesorios";"Región Metropolitana";"La Florida";10000;NA;"peso";NA
"11";"Hoy";"09:17";"bicimoto";"Bicicletas, ciclismo y accesorios";"Región Metropolitana";"La Florida";NA;NA;NA;NA
"12";"Hoy";"09:16";"Maestro mueblista";"Ofertas de empleo";"Región Metropolitana";"La Florida";NA;NA;NA;NA
"13";"Hoy";"09:16";"Asta Mástil Banderas Basas Pedestal Monolito";"Negocios, maquinaria y construcción";"Región Metropolitana";"La Florida";10000;NA;"peso";NA
"14";"Hoy";"09:16";"Dibujante Arquitectura Renderista";"Servicios";"Región Metropolitana";"La Florida";37000;NA;"peso";NA
"15";"Hoy";"09:08";"Base Pedestal Basa Monolito para Quitasol";"Jardín, herramientas y exteriores";"Región Metropolitana";"La Florida";20000;NA;"peso";NA
"16";"Hoy";"09:08";"Servicios de grúa 24/7";"Servicios";"Región Metropolitana";"La Florida";18000;NA;"peso";NA
"17";"Hoy";"09:04";"Camisa Ralph Lauren talla M";"Moda y vestuario";"Región Metropolitana";"La Florida";10000;NA;"peso";NA
"18";"Hoy";"07:45";"Suzuki Celerio";"Autos, camionetas y 4x4";"Región Metropolitana";"La Florida";6890000;NA;"peso";NA
"19";"Hoy";"07:05";"Ford Ecosport Se 1.6 2014";"Autos, camionetas y 4x4";"Región Metropolitana";"La Florida";10890000;NA;"peso";NA
"20";"Hoy";"06:34";"Samsung a52 128gb liberado -exelente- poco uso";"Celulares, teléfonos y accesorios";"Región Metropolitana";"La Florida";2e+05;NA;"peso";NA
"21";"Hoy";"05:17";"Lego minecraft";"Juguetes";"Región Metropolitana";"La Florida";40000;NA;"peso";NA
"22";"Hoy";"05:11";"Lego star wars";"Juguetes";"Región Metropolitana";"La Florida";90000;NA;"peso";NA
"23";"Hoy";"05:04";"TOYOTA COROLLA 1.6 XL";"Autos, camionetas y 4x4";"Región Metropolitana";"La Florida";11900000;NA;"peso";NA
"24";"Hoy";"04:19";"Lupa Cirugia Odontologia";"Salud y belleza";"Región Metropolitana";"La Florida";70000;NA;"peso";NA
"25";"Hoy";"02:53";"Chofer taxi basico";"Ofertas de empleo";"Región Metropolitana";"La Florida";80000;NA;"peso";NA
"26";"Hoy";"02:22";"Huincha de medir";"Jardín, herramientas y exteriores";"Región Metropolitana";"La Florida";NA;NA;NA;NA
"27";"Hoy";"02:17";"Único en Chile";"Otros artículos del hogar";"Región Metropolitana";"La Florida";85000;NA;"peso";NA
"28";"Hoy";"01:56";"Living 5 cpos con o sin madera";"Muebles";"Región Metropolitana";"La Florida";310000;NA;"peso";NA
"29";"Hoy";"01:56";"Estilista unisex";"Ofertas de empleo";"Región Metropolitana";"La Florida";NA;NA;NA;NA
"30";"Hoy";"01:48";"Entrenador";"Ofertas de empleo";"Región Metropolitana";"La Florida";NA;NA;NA;NA
"31";"Hoy";"01:48";"Subaru Impreza Turbo Integral";"Autos, camionetas y 4x4";"Región Metropolitana";"La Florida";5500000;NA;"peso";NA
"32";"Hoy";"01:37";"Linda decoración en fierro forjado";"Otros artículos del hogar";"Región Metropolitana";"La Florida";54000;NA;"peso";NA
"33";"Hoy";"01:35";"Rack con librero y copero espejado";"Muebles";"Región Metropolitana";"La Florida";40000;NA;"peso";NA
"34";"Hoy";"01:28";"Linda casa en La Florida, sector San José de la Es";"Vendo";"Región Metropolitana";"La Florida";2265;69959530,65;"UF";30887,21
"35";"Hoy";"01:26";"Wired controller PDP xbox one- red";"Consolas, videojuegos y accesorios";"Región Metropolitana";"La Florida";25000;NA;"peso";NA
"36";"Hoy";"01:17";"Botella CamelBak eddy+ Kids 14oz / SummitStore";"Hobbies y outdoor";"Región Metropolitana";"La Florida";14990;NA;"peso";NA
"37";"Hoy";"01:16";"Mueble ";"Muebles";"Región Metropolitana";"La Florida";20000;NA;"peso";NA
"38";"Hoy";"01:13";"Telefono Publico Para Decoracion";"Accesorios y piezas para vehículos";"Región Metropolitana";"La Florida";120000;NA;"peso";NA
"39";"Hoy";"01:09";"Antiguo Telefono Publico Para Decoracion";"Arte, antigüedades y colecciones";"Región Metropolitana";"La Florida";160000;NA;"peso";NA
"40";"Hoy";"01:08";"Canchero Club de Tenis La FLorida";"Ofertas de empleo";"Región Metropolitana";"La Florida";20000;NA;"peso";NA
"41";"Hoy";"00:53";"Rejilla para audi";"Accesorios y piezas para vehículos";"Región Metropolitana";"La Florida";140000;NA;"peso";NA
"42";"Hoy";"00:50";"Cubre piso";"Accesorios y piezas para vehículos";"Región Metropolitana";"La Florida";60000;NA;"peso";NA
"43";"Hoy";"00:48";"Restaurador pinturas completas";"Servicios";"Región Metropolitana";"La Florida";8e+05;NA;"peso";NA
"44";"Hoy";"00:37";"Samsung sm5";"Autos, camionetas y 4x4";"Región Metropolitana";"La Florida";4500000;NA;"peso";NA
"45";"Hoy";"00:36";"Pack Botellas CamelBak Eddy+ 600ml / SummitStore";"Otros artículos del hogar";"Región Metropolitana";"La Florida";26990;NA;"peso";NA
"46";"Hoy";"00:31";"CONSTRUCCIÓN PRE FABRICADA 42 metros";"Negocios, maquinaria y construcción";"Región Metropolitana";"La Florida";6500000;NA;"peso";NA
"47";"Hoy";"00:28";"Hyundai grand i-10 2019 full";"Autos, camionetas y 4x4";"Región Metropolitana";"La Florida";8200000;NA;"peso";NA
"48";"Hoy";"00:21";"Pack Botellas CamelBak Eddy+ 750ml c/u";"Hobbies y outdoor";"Región Metropolitana";"La Florida";28990;NA;"peso";NA
"49";"Hoy";"00:21";"Xbox series S como nueva";"Consolas, videojuegos y accesorios";"Región Metropolitana";"La Florida";NA;NA;NA;NA
"50";"Hoy";"00:21";"Smart balance todo terreno";"Deportes, gimnasia y accesorios";"Región Metropolitana";"La Florida";180000;NA;"peso";NA
